query_product,query_sub,rank,neighbour_product,neighbour_sub,same_sub,cosine
5592931,SUGAR,1,918331,IMITATION EXTRACTS,0,0.5972951650619507
5592931,SUGAR,2,902194,SOFT DRINK POWDER POUCHES,0,0.5745300054550171
5592931,SUGAR,3,914513,SOFT DRINK POWDER POUCHES,0,0.5586647987365723
5592931,SUGAR,4,1009476,SOFT DRINK POWDER POUCHES,0,0.5546514987945557
5592931,SUGAR,5,1068719,SUGAR,1,0.5432283878326416
952981,SPAGHETTI DRY,1,866140,SPAGHETTI DRY,1,0.7295375466346741
952981,SPAGHETTI DRY,2,1090701,FRZN GARLIC BREAD/TOAST/STICKS,0,0.5882330536842346
952981,SPAGHETTI DRY,3,830015,MAINSTREAM,0,0.5580453872680664
952981,SPAGHETTI DRY,4,924760,SPAGHETTI DRY,1,0.5501962900161743
952981,SPAGHETTI DRY,5,962206,SPAGHETTI DRY,1,0.5434110760688782
916993,COTTAGE CHEESE,1,970119,COTTAGE CHEESE,1,0.6203097105026245
916993,COTTAGE CHEESE,2,867138,YOGURT NOT MULTI-PACKS,0,0.5388723015785217
916993,COTTAGE CHEESE,3,5572234,BREAD:TORTILLAS/PITA,0,0.5007840991020203
916993,COTTAGE CHEESE,4,9547021,ORGANIC SALAD MIX,0,0.4666193127632141
916993,COTTAGE CHEESE,5,911388,PREMIUM BREAD,0,0.4630192816257477
1033220,CARROTS - BULK,1,987838,VEGETABLES ALL OTHER,0,0.6983673572540283
1033220,CARROTS - BULK,2,1041259,GARLIC WHOLE CLOVES,0,0.6952269077301025
1033220,CARROTS - BULK,3,979707,ONIONS SWEET (BULK&BAG),0,0.6878728270530701
1033220,CARROTS - BULK,4,995785,PEPPERS GREEN BELL,0,0.6725400686264038
1033220,CARROTS - BULK,5,1137688,SQUASH ZUCCHINI,0,0.6623904705047607
931671,CANISTER POTATO/TORT CHIPS,1,838733,CANISTER POTATO/TORT CHIPS,1,0.7933914661407471
931671,CANISTER POTATO/TORT CHIPS,2,882830,CANISTER POTATO/TORT CHIPS,1,0.6502282023429871
931671,CANISTER POTATO/TORT CHIPS,3,961458,CANISTER POTATO/TORT CHIPS,1,0.5418012142181396
931671,CANISTER POTATO/TORT CHIPS,4,941183,CANISTER POTATO/TORT CHIPS,1,0.5213125944137573
931671,CANISTER POTATO/TORT CHIPS,5,974108,CANISTER POTATO/TORT CHIPS,1,0.5092198848724365
5568729,TORTILLA/NACHO CHIPS,1,1115175,TORTILLA/NACHO CHIPS,1,0.6593347787857056
5568729,TORTILLA/NACHO CHIPS,2,846417,DIPS (NON-REFRIGERATED),0,0.6475335359573364
5568729,TORTILLA/NACHO CHIPS,3,1008799,MEXICAN SAUCESSALSAPICANTEE,0,0.6205236911773682
5568729,TORTILLA/NACHO CHIPS,4,1072968,DIPS (NON-REFRIGERATED),0,0.5609608888626099
5568729,TORTILLA/NACHO CHIPS,5,5568320,TORTILLA/NACHO CHIPS,1,0.537265956401825
6602697,GROUND TURKEY,1,921836,BETTER FOR YOU,0,0.5882784128189087
6602697,GROUND TURKEY,2,6602729,GROUND TURKEY,1,0.5607410669326782
6602697,GROUND TURKEY,3,926065,FRZN BAGGED VEGETABLES - PLAIN,0,0.4885123372077942
6602697,GROUND TURKEY,4,8203720,SEAFOOD-FRE-SALMON,0,0.46957194805145264
6602697,GROUND TURKEY,5,936914,BETTER FOR YOU,0,0.4637615978717804
896369,PEANUT BUTTER,1,1062782,JELLY,0,0.6919796466827393
896369,PEANUT BUTTER,2,949142,PEANUT BUTTER,1,0.6608326435089111
896369,PEANUT BUTTER,3,1022011,PEANUT BUTTER,1,0.6148822903633118
896369,PEANUT BUTTER,4,973476,PRESERVES JAM MARMALADE,0,0.5460433959960938
896369,PEANUT BUTTER,5,891516,PEANUT BUTTER,1,0.5092644095420837
1042907,PREMIUM,1,1123842,PREMIUM,1,0.7725620269775391
1042907,PREMIUM,2,999270,ECONOMY,0,0.7075424194335938
1042907,PREMIUM,3,6464086,BETTER FOR YOU,0,0.674287736415863
1042907,PREMIUM,4,995896,PREMIUM,1,0.6531028747558594
1042907,PREMIUM,5,937292,ECONOMY,0,0.6520622968673706
849843,MAINSTREAM WHEAT/MULTIGRAIN BR,1,889731,MAINSTREAM WHEAT/MULTIGRAIN BR,1,0.7010605335235596
849843,MAINSTREAM WHEAT/MULTIGRAIN BR,2,1007191,MAINSTREAM WHITE BREAD,0,0.519365131855011
849843,MAINSTREAM WHEAT/MULTIGRAIN BR,3,883404,MAINSTREAM WHITE BREAD,0,0.5062787532806396
849843,MAINSTREAM WHEAT/MULTIGRAIN BR,4,1123536,MAINSTREAM WHEAT/MULTIGRAIN BR,1,0.4979757070541382
849843,MAINSTREAM WHEAT/MULTIGRAIN BR,5,847789,MAINSTREAM WHEAT/MULTIGRAIN BR,1,0.495309054851532
845307,MEAT: TURKEY BULK,1,933835,MEAT: SAUS DRY BULK,0,0.7438743114471436
845307,MEAT: TURKEY BULK,2,885863,MEAT: BEEF BULK,0,0.7323278188705444
845307,MEAT: TURKEY BULK,3,1087102,MEAT: TURKEY BULK,1,0.7146036028862
845307,MEAT: TURKEY BULK,4,1018740,MEAT:HAM BULK,0,0.7038059234619141
845307,MEAT: TURKEY BULK,5,1137775,CHEESE: NATURAL BULK,0,0.7032403945922852
995242,FLUID MILK WHITE ONLY,1,908531,CHOCOLATE MILK,0,0.4534733295440674
995242,FLUID MILK WHITE ONLY,2,898121,RYE BREADS,0,0.39533084630966187
995242,FLUID MILK WHITE ONLY,3,948232,SANDWICHES/BISCUITS/GRAVY,0,0.3939060568809509
995242,FLUID MILK WHITE ONLY,4,1065979,FLUID MILK WHITE ONLY,1,0.3891920745372772
995242,FLUID MILK WHITE ONLY,5,845675,PREMIUM PINTS,0,0.3839762806892395
1077555,COTTAGE CHEESE,1,1056509,COTTAGE CHEESE,1,0.5659947395324707
1077555,COTTAGE CHEESE,2,833025,SOUR CREAMS,0,0.4482836127281189
1077555,COTTAGE CHEESE,3,15926927,CORN CHIPS,0,0.4132910966873169
1077555,COTTAGE CHEESE,4,828143,MISCELLANEOUS CHEESE,0,0.40931034088134766
1077555,COTTAGE CHEESE,5,899459,NATURAL CHEESE EXACT WT CHUNKS,0,0.3492395281791687
925514,CANDY BARS (SINGLES)(INCLUDING,1,1022872,CANDY BARS (SINGLES)(INCLUDING,1,0.7766082882881165
925514,CANDY BARS (SINGLES)(INCLUDING,2,1051069,CANDY BARS (SINGLES)(INCLUDING,1,0.7218278050422668
925514,CANDY BARS (SINGLES)(INCLUDING,3,7441558,CANDY BARS (SINGLES)(INCLUDING,1,0.7172491550445557
925514,CANDY BARS (SINGLES)(INCLUDING,4,986394,CANDY BARS (SINGLES)(INCLUDING,1,0.7131789326667786
925514,CANDY BARS (SINGLES)(INCLUDING,5,1124729,CANDY BARS (SINGLES)(INCLUDING,1,0.7011918425559998
9527160,POTATO CHIPS,1,9526411,POTATO CHIPS,1,0.768933892250061
9527160,POTATO CHIPS,2,9527494,POTATO CHIPS,1,0.6977437734603882
9527160,POTATO CHIPS,3,9527066,POTATO CHIPS,1,0.6734304428100586
9527160,POTATO CHIPS,4,13945141,POTATO CHIPS,1,0.6238690614700317
9527160,POTATO CHIPS,5,9527161,POTATO CHIPS,1,0.6172016263008118
